Country, Population
Albania,50000
Andorra,1
Austria,1130000
Belarus,2740000
Belgium,3110000
Bosnia-Herzegovina,90000
Bulgaria,310000
Channel Islands,20000
Croatia,230000
Czech Republic,8020000
Denmark,650000
Estonia,800000
Faeroe Islands,1
Finland,1020000
France,17580000
Georgia,30000
Germany,20350000
Greece,700000
Gibraltar,1
Vatican City,1
Hungary,1860000
Iceland,10000
Isle of Man,10000
Ireland,280000
Italy,7500000
Kosovo,1
Latvia,990000
Liechtenstein,1
Luxembourg,140000
Lithuania,330000
Republic of Macedonia,30000
Malta,10000
Moldova,50000
Monaco,1
Montenegro,20000
Netherlands,6990000
Norway,490000
Poland,2150000
Portugal,800000
Romania,20000
Russia,23180000
San Marino,1
Serbia,260000
Slovakia,780000
Slovenia,370000
Spain,8740000
Switzerland,1600000
Sweden,2540000
Ukraine,6690000
United Kingdom,17220000