Country,Catholics
Albania,330000
Andorra,70000
Austria,6120000
Belgium,6660000
Belarus,840000
Bosnia-Herzegovina,540000
Bulgaria,40000
Channel Islands,30000
Croatia,3900000
Czech Republic,2010000
Denmark,40000
Estonia,1
Faeroe Islands,1
France,37930000
Finland,1
Germany,27100000
Georgia,30000
Gibraltar,20000
Greece,80000
Vatican City,1
Hungary,5930000
Iceland,10000
Ireland,3830000
Isle of Man,1
Italy,49170000
Kosovo,30000
Latvia,430000
Lithuania,2760000
Liechtenstein,30000
Luxembourg,330000
Republic of Macedonia,1
Malta,400000
Moldova,1
Monaco,30000
Montenegro,20000
Netherlands,4780000
Norway,90000
Portugal,9570000
Poland,35310000
Romania,1220000
Russia,730000
San Marino,30000
Serbia,450000
Slovakia,4060000
Slovenia,1500000
Spain,34670000
Sweden,110000
Switzerland,2950000
Ukraine,2560000
United Kingdom,8900000